date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:28:22	99144/99144	---MCZ	200	added ('OK')	text/html	date:Sun,%2030%20Apr%202023%2019:31:02%20GMT	https://nfengcom.wordpress.com/	F:/site_download/wp_site/nfengcom.wordpress.com/index.html	(from )
15:28:22	343/343	---MCZ	200	added ('OK')	text/plain	date:Sun,%2030%20Apr%202023%2019:31:02%20GMT	https://nfengcom.wordpress.com/robots.txt		(from )
15:28:24	323/323	---MCZ	200	added ('OK')	text/css	etag:W/%225c066ea5-1d7%22	https://s0.wp.com/wp-content/themes/h4/global.css?m=1420737423h&cssminify=yes	F:/site_download/wp_site/s0.wp.com/wp-content/themes/h4/global21a2.css	(from https://nfengcom.wordpress.com/)
15:28:24	19805/19805	---MCZ	200	added ('OK')	application/rss+xml	date:Sun,%2030%20Apr%202023%2019:31:03%20GMT	https://nfengcom.wordpress.com/feed/	F:/site_download/wp_site/nfengcom.wordpress.com/feed/index.html	(from https://nfengcom.wordpress.com/)
15:28:24	15537/15537	---MCZ	200	added ('OK')	text/css	etag:W/%2263242ce6-45a9%22	https://s0.wp.com/wp-content/mu-plugins/highlander-comments/style.css?m=1663315160h&cssminify=yes	F:/site_download/wp_site/s0.wp.com/wp-content/mu-plugins/highlander-comments/style68a8.css	(from https://nfengcom.wordpress.com/)
15:28:24	369/369	---M--	200	added ('OK')	text/css	etag:%225bffef5b-171%22	https://s1.wp.com/_static/??/wp-content/mu-plugins/core-compat/wp-mediaelement.css,/wp-content/mu-plugins/wpcom-bbpress-premium-themes.css?m=1432920480j&cssminify=yes	F:/site_download/wp_site/s1.wp.com/_static/indexd02a.html	(from https://nfengcom.wordpress.com/)
15:28:24	20209/20209	---MCZ	200	added ('OK')	application/javascript	etag:W/%2262f6b68b-4ef1%22	https://s2.wp.com/_static/??/wp-content/js/mobile-useragent-info.js,/wp-content/js/rlt-proxy.js,/wp-content/blog-plugins/wordads-classes/js/cmp-non-gdpr.js?m=1653088172j	F:/site_download/wp_site/s2.wp.com/_static/indexeb4d.html	(from https://nfengcom.wordpress.com/)
15:28:24	858/858	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%22487ef80c0416f674bd27fc5bb7659cc2%22	https://nfengcom.wordpress.com/comments/feed/	F:/site_download/wp_site/nfengcom.wordpress.com/comments/feed/index.html	(from https://nfengcom.wordpress.com/)
15:28:25	865/865	---MCZ	200	added ('OK')	text/xml	date:Sun,%2030%20Apr%202023%2019:31:05%20GMT	https://nfengcom.wordpress.com/xmlrpc.php?rsd	F:/site_download/wp_site/nfengcom.wordpress.com/xmlrpc0db0.php	(from https://nfengcom.wordpress.com/)
15:28:25	10046/10046	---M--	200	added ('OK')	image/png	etag:%2262f6b688-273e%22	https://s2.wp.com/i/webclip.png	F:/site_download/wp_site/s2.wp.com/i/webclip.png	(from https://nfengcom.wordpress.com/)
